,Phone_name,discounted_price,Actual_price,Discount_applied
0,Xiaomi Redmi Note 13,"Rs  45,999","Rs  52,999",13% OFF
1,Nokia 106 2023,"Rs  4,299","Rs  4,999",14% OFF
2,Nokia 105 Classic,"Rs  3,699","Rs  4,199",12% OFF
3,Nokia 105 2023,"Rs  4,099","Rs  4,699",13% OFF
4,VGO TEL Note 23,"Rs  27,299","Rs  31,999",15% OFF
5,AllCall Shine 12 Pro,"Rs  19,099","Rs  20,999",9% OFF
6,Realme 12 4G,"Rs  54,199","Rs  59,999",10% OFF
7,Samsung Galaxy A24 4G,"Rs  50,999","Rs  72,999",30% OFF
8,Qmobile QSmart Ultra,"Rs  21,999","Rs  29,999",27% OFF
9,AllCall Shine 12T,"Rs  16,999","Rs  18,499",8% OFF
10,Tecno Spark 20 Pro,"Rs  38,099","Rs  40,999",7% OFF
11,Infinix Note 40,"Rs  47,999","Rs  57,999",17% OFF
12,Samsung Galaxy A05,"Rs  23,100","Rs  24,999",8% OFF
13,Jazz Digit Energy 4G,"Rs  5,999","Rs  10,900",45% OFF
14,Realme C65,"Rs  46,999","Rs  49,999",6% OFF
15,Tecno Camon 30,"Rs  51,999","Rs  57,999",10% OFF
16,Jazz Digit E2 Pro 4G,"Rs  6,999","Rs  9,499",26% OFF
17,Infinix Hot 40 Pro,"Rs  41,199","Rs  44,999",8% OFF
18,Nokia G21,"Rs  24,899","Rs  31,999",22% OFF
19,Xiaomi Redmi 13C,"Rs  26,999","Rs  28,999",7% OFF
20,Nokia C31,"Rs  20,399","Rs  31,999",36% OFF
21,Xiaomi Redmi A3x,"Rs  19,499","Rs  20,999",7% OFF
22,Infinix Smart 8,"Rs  22,799","Rs  24,999",9% OFF
23,ZTE Blade A53 Pro,"Rs  15,899","Rs  20,999",24% OFF
24,Realme C53,"Rs  33,999","Rs  39,999",15% OFF
25,Honor X6a,"Rs  25,999","Rs  30,999",16% OFF
26,Tecno Spark 20 Pro Plus,"Rs  51,999","Rs  59,999",13% OFF
27,Xiaomi Redmi 12,"Rs  31,999","Rs  32,999",3% OFF
28,Oppo Reno 12F,"Rs  67,999","Rs  69,999",3% OFF
29,Dcode Cygnal 2,"Rs  17,899","Rs  25,999",31% OFF
30,Xiaomi Redmi 13,"Rs  37,999","Rs  42,999",12% OFF
31,Tecno Spark 10C,"Rs  24,999","Rs  31,999",22% OFF
32,Tecno Spark Go 2024,"Rs  22,799","Rs  24,999",9% OFF
33,Dcode Cygnal 3 Lite,"Rs  16,999","Rs  23,499",28% OFF
34,Vivo Y03,"Rs  28,299","Rs  30,999",9% OFF
35,Vivo Y03,"Rs  28,299","Rs  30,999",9% OFF
36,Vivo Y27s,"Rs  42,999","Rs  46,999",9% OFF
37,Oppo A38,"Rs  41,999","Rs  44,999",7% OFF
38,Itel It2165,"Rs  2,499",,
39,Infinix Note 40 Pro,"Rs  75,199","Rs  79,999",6% OFF
40,itel A17,"Rs  10,499","Rs  16,999",38% OFF
41,Vivo Y28,"Rs  45,499","Rs  49,999",9% OFF
42,ZTE Blade A52,"Rs  15,499","Rs  25,999",40% OFF
43,Tecno Spark 20,"Rs  30,299","Rs  32,999",8% OFF
44,Xiaomi Redmi A3,"Rs  22,299","Rs  23,999",7% OFF
45,Sparx Edge 20 Pro,"Rs  47,399","Rs  52,499",10% OFF
46,Xiaomi Redmi Note 13 Pro Plus,"Rs  130,999","Rs  139,999",6% OFF
47,Samsung Galaxy A15,"Rs  46,999","Rs  52,999",11% OFF
48,Infinix Hot 30i,"Rs  27,299","Rs  29,999",9% OFF
49,VGO TEL New 24,"Rs  19,899","Rs  20,999",5% OFF
50,Realme Note 50,"Rs  23,699","Rs  24,999",5% OFF
51,Realme C63,"Rs  32,999","Rs  39,999",18% OFF
52,Oppo A58,"Rs  44,999","Rs  48,999",8% OFF
53,Infinix GT 20 Pro,"Rs  92,599","Rs  99,999",7% OFF
54,QMobile Qsmart Blaze,"Rs  16,899","Rs  21,999",23% OFF
55,itel Power 120,"Rs  2,999",,
56,Faywa Smart Max,"Rs  3,599","Rs  3,999",10% OFF
57,ZTE Blade A31 Plus,"Rs  12,299","Rs  22,299",45% OFF
58,Honor X6,"Rs  22,299","Rs  29,999",26% OFF
59,Oppo A60,"Rs  53,199","Rs  54,999",3% OFF
60,Infinix Smart 8 Plus,"Rs  23,399","Rs  26,999",13% OFF
61,Infinix Hot 40,"Rs  34,399","Rs  37,999",9% OFF
62,Oppo A78,"Rs  59,999","Rs  64,999",8% OFF
63,Tecno Pop 7,"Rs  18,099","Rs  20,699",13% OFF
64,Samsung Galaxy A25,"Rs  79,500","Rs  98,500",19% OFF
65,VGO TEL NEW 12,"Rs  15,999",,
66,Dcode Cygnal 3 Pro,"Rs  19,999","Rs  30,999",35% OFF
67,Samsung Galaxy S24 Ultra,"Rs  424,999","Rs  469,999",10% OFF
68,Sparx Neo 7 Pro,"Rs  20,999","Rs  27,499",24% OFF
69,GFive Falak,"Rs  3,199","Rs  3,399",6% OFF
70,GFive Falak,"Rs  3,199","Rs  3,399",6% OFF
71,Oppo Reno 12F,"Rs  67,999","Rs  69,999",3% OFF
72,Itel A60s,"Rs  21,849","Rs  22,999",5% OFF
73,VGO TEL New 15,"Rs  17,499",,
74,Samsung Galaxy A35 5G,"Rs  104,500","Rs  119,999",13% OFF
75,VGO TEL i510,"Rs  3,499","Rs  3,700",5% OFF
76,Samsung Galaxy A54 5G,"Rs  103,999","Rs  140,999",26% OFF
77,Dcode Cygnal 2 Pro,"Rs  16,399","Rs  29,999",45% OFF
78,GFive 6700 4G (2024),"Rs  7,199","Rs  8,000",10% OFF
79,Sparx Neo 7 Ultra,"Rs  23,999","Rs  25,499",6% OFF
80,Calme C885,"Rs  3,299","Rs  3,699",11% OFF
81,VGO TEL i15,"Rs  4,349","Rs  4,650",6% OFF
82,Xiaomi Redmi Note 12,"Rs  41,299","Rs  48,999",16% OFF
83,Samsung Galaxy A05s,"Rs  39,999","Rs  44,999",11% OFF
84,VGO TEL S20,"Rs  3,899","Rs  5,249",26% OFF
85,E-Tachi iPro,"Rs  4,099","Rs  4,999",18% OFF
86,Xiaomi Redmi Note 13 Pro,"Rs  63,499","Rs  74,999",15% OFF
87,Itel Neo X30+,"Rs  6,499","Rs  7,000",7% OFF
88,VGO TEL New 16,"Rs  18,099","Rs  18,599",3% OFF
89,Itel S24,"Rs  26,599","Rs  33,999",22% OFF
90,VGO TEL iMusic,"Rs  4,499","Rs  4,749",5% OFF
91,VGO TEL Four 22,"Rs  3,799","Rs  5,049",25% OFF
92,Nokia 110 2023,"Rs  6,099",,
93,Qmobile E 2000 Music,"Rs  3,599",,
94,Realme C51,"Rs  24,999","Rs  28,999",14% OFF
95,VGO TEL Smart HI-FI,"Rs  4,899","Rs  5,324",8% OFF
96,itel S23 Plus,"Rs  41,499","Rs  44,999",8% OFF
97,VGO TEL i101,"Rs  2,199","Rs  2,699",19% OFF
98,VNUS SE22,"Rs  16,249","Rs  27,999",42% OFF
99,Faywa Diamond,"Rs  3,850","Rs  4,000",4% OFF
100,Poco M6 Pro,"Rs  84,999","Rs  89,999",6% OFF
101,Tecno Spark 20C,"Rs  25,699","Rs  27,999",8% OFF
102,VGO TEL Beauty,"Rs  2,999",,
103,Villaon V30,"Rs  14,999","Rs  18,499",19% OFF
104,FAYWA Prime 2,"Rs  2,329","Rs  2,449",5% OFF
105,FAYWA Prime 2,"Rs  2,329","Rs  2,449",5% OFF
106,Vivo Y17s,"Rs  34,999",,
107,Infinix Smart 8 Pro,"Rs  25,299","Rs  27,999",10% OFF
108,Sparx Neo 8,"Rs  24,299","Rs  29,499",18% OFF
109,Xiaomi Redmi 10A,"Rs  21,799","Rs  29,999",27% OFF
110,Vivo Y18,"Rs  34,999","Rs  38,499",9% OFF
111,ZTE Blade A54,"Rs  19,999","Rs  22,999",13% OFF
112,ZTE Nubia V60 Design,"Rs  29,399","Rs  30,999",5% OFF
113,Faywa F110,"Rs  2,325","Rs  2,385",3% OFF
114,itel Flip 1,"Rs  6,499","Rs  6,999",7% OFF
115,Itel Magic 4,"Rs  4,999","Rs  6,199",19% OFF
116,GFive Music 300,"Rs  2,399",,
117,ZTE Nubia Focus Pro,"Rs  55,499","Rs  57,999",4% OFF
118,Qmobile Spark 4000,"Rs  3,899",,
119,itel Muzik 400,"Rs  4,549","Rs  4,699",3% OFF
120,Itel Power 900,"Rs  5,099","Rs  5,699",11% OFF
121,itel P55 Plus,"Rs  31,499","Rs  32,999",5% OFF
122,VGO TEL i12,"Rs  4,949","Rs  5,250",6% OFF
123,Sparx Neo 11,"Rs  23,549","Rs  25,499",8% OFF
124,Memobile Banana,"Rs  1,999",,
125,Samsung Galaxy A34,"Rs  79,999","Rs  116,999",32% OFF
126,Nokia C22,"Rs  23,649","Rs  24,999",5% OFF
127,Infinix Note 40 Pro Plus,"Rs  93,999","Rs  99,999",6% OFF
128,Vivo V30 5G,"Rs  120,999","Rs  135,999",11% OFF
129,Realme C30,"Rs  22,999","Rs  24,999",8% OFF
130,Villaon V30 RS,"Rs  20,299","Rs  24,999",19% OFF
131,Honor X5 Plus,"Rs  22,999","Rs  28,499",19% OFF
132,ZTE Blade V30 Vita,"Rs  18,999","Rs  24,999",24% OFF
133,Vivo Y21T,"Rs  48,499","Rs  79,999",39% OFF
134,Digit Infinity,"Rs  13,299","Rs  20,699",36% OFF
135,Samsung Galaxy S23 Ultra,"Rs  353,500","Rs  382,999",8% OFF
136,Apple iPhone 13,"Rs  235,999","Rs  274,999",14% OFF
137,Samsung Galaxy S24,"Rs  275,499","Rs  289,999",5% OFF
138,Tecno Camon 30 Pro 5G,"Rs  93,999","Rs  99,999",6% OFF
139,Itel P40 4G,"Rs  22,499",,
140,Dcode Cygnal 2 Lite,"Rs  15,299","Rs  23,999",36% OFF
141,GFive Guru,"Rs  2,399",,
142,Apple iPhone 11,"Rs  155,999","Rs  207,999",25% OFF
143,Dcode Bold 3 Pro,"Rs  42,999",,
144,FAYWA F111,"Rs  2,479",,
145,Samsung Galaxy S24 Ultra (12GB-256GB),"Rs  399,999","Rs  434,999",8% OFF
146,Samsung Galaxy A55 5G,"Rs  129,999","Rs  139,999",7% OFF
147,Apple iPhone 14,"Rs  278,999","Rs  299,999",7% OFF
148,Oppo A54,"Rs  46,999","Rs  59,999",22% OFF
149,QMobile QSmart 8,"Rs  18,199","Rs  18,999",4% OFF
150,Honor X7b,"Rs  56,999","Rs  59,999",5% OFF
151,E-Tachi B13,"Rs  2,624",,
152,Oppo Reno 11 5G,"Rs  120,999","Rs  129,999",7% OFF
153,Sparx Note 20,"Rs  34,899","Rs  37,999",8% OFF
154,REMAXX R110,"Rs  2,349","Rs  2,350",0% OFF
155,E-Tachi Mega Music Pro,"Rs  3,825",,
156,E-Tachi Mega Music,"Rs  3,999",,
157,FAYWA Prime 3,"Rs  2,329","Rs  2,449",5% OFF
158,Samsung Galaxy A34,"Rs  79,999","Rs  116,999",32% OFF
159,itel A70,"Rs  19,599","Rs  23,999",18% OFF
160,Calme 4g Star,"Rs  7,599","Rs  9,500",20% OFF
161,Faywa F6310,"Rs  2,949","Rs  3,249",9% OFF
162,Villaon V210,"Rs  2,699",,
163,Motorola Moto G84 5G,"Rs  66,899","Rs  74,999",11% OFF
164,Infinix Smart 6,"Rs  20,849","Rs  30,999",33% OFF
165,Itel S23 4G,"Rs  19,899","Rs  21,999",10% OFF
166,Itel A05s,"Rs  18,899",,
167,itel A70 Pro,"Rs  21,599","Rs  33,999",36% OFF
168,Itel It5361,"Rs  4,140",,
169,Itel A50,"Rs  18,999","Rs  19,999",5% OFF
170,GFive Music 200,"Rs  2,499",,
171,Digit 4G Energy Max,"Rs  8,199","Rs  9,999",18% OFF
172,GRESSO E1280,"Rs  2,399","Rs  3,000",20% OFF
173,E-Tachi E8 Classic,"Rs  3,649",,
174,Faywa F3,"Rs  2,649",,
175,HONOR X9b,"Rs  122,299","Rs  129,999",6% OFF
176,Faywa NEX1 4G,"Rs  7,699","Rs  7,799",1% OFF
177,Qmobile E 3000,"Rs  3,599",,
178,Calme iMax,"Rs  2,999","Rs  5,499",45% OFF
179,Faywa F6,"Rs  2,399","Rs  2,449",2% OFF
180,Faywa L1,"Rs  2,549",,
181,FAYWA F14 Pro (4 Sim),"Rs  3,479","Rs  4,099",15% OFF
182,Samsung Galaxy A13,"Rs  31,999","Rs  57,999",45% OFF
183,Xiaomi Redmi A1+,"Rs  17,999","Rs  26,999",33% OFF
184,VGO TEL i251,"Rs  3,099","Rs  3,749",17% OFF
185,VGO TEL i710,"Rs  4,999",,
186,GFive Style,"Rs  2,999","Rs  3,399",12% OFF
187,GFive Style 4G,"Rs  6,999","Rs  8,000",13% OFF
188,Calme Music 300,"Rs  3,799",,
189,GRESSO Jugnu,"Rs  2,799",,
190,Samsung Galaxy A34,"Rs  79,999","Rs  116,999",32% OFF
191,Samsung Galaxy S23 FE,"Rs  191,999","Rs  204,999",6% OFF
192,Vivo Y100,"Rs  54,999","Rs  60,999",10% OFF
193,Tecno Spark 10,"Rs  26,499","Rs  34,999",24% OFF
194,XSmart Mate 10,"Rs  21,899","Rs  24,999",12% OFF
195,Villaon Pock 1,"Rs  2,899","Rs  2,999",3% OFF
196,VGO TEL iMusic Lite,"Rs  3,899",,
197,Honor X8b,"Rs  75,799","Rs  79,999",5% OFF
198,XMobile X2 Play,"Rs  2,699",,
199,Samsung Galaxy Z Fold 4,"Rs  349,999","Rs  539,999",35% OFF
200,Apple iPhone 15 Pro,"Rs  404,999",,
201,Vivo Y22,"Rs  45,999","Rs  59,999",23% OFF
202,Realme C25Y,"Rs  29,999","Rs  49,999",40% OFF
203,Itel It5262,"Rs  3,959",,
204,VGO TEL i10,"Rs  3,649",,
205,Calme 4G Hot,"Rs  5,399","Rs  5,499",2% OFF
206,VNUS Sky 1,"Rs  11,099","Rs  14,499",23% OFF
207,Spice S5,"Rs  2,999",,
208,FAYWA SMART 1,"Rs  3,899","Rs  4,199",7% OFF
209,Apple iPhone 12,"Rs  185,999","Rs  200,000",7% OFF
210,FAYWA SMART 1,"Rs  3,899","Rs  4,199",7% OFF
211,Xsmart Core X,"Rs  20,899","Rs  22,499",7% OFF
212,KXD Classic Core A09,"Rs  19,899","Rs  22,500",12% OFF
213,Villaon V110,"Rs  2,099",,
214,Gfive 15 Pro,"Rs  3,899",,
215,DIGIT Hero,"Rs  7,500",,
216,GRESSO E3100,"Rs  2,400","Rs  2,799",14% OFF
217,VNUS Rock 1,"Rs  10,099","Rs  10,999",8% OFF
218,FAYWA Magic Power,"Rs  2,575",,
219,FAYWA Eagle 1,"Rs  3,299","Rs  3,549",7% OFF
220,FAYWA J3 Slim,"Rs  2,999","Rs  3,999",25% OFF
221,Faywa Smart 4G,"Rs  7,749","Rs  9,499",18% OFF
222,Sparx Neo 7 Plus,"Rs  19,999","Rs  21,999",9% OFF
223,QMobile QStar Max,"Rs  4,099",,
224,Vivo V30e,"Rs  82,999","Rs  95,999",14% OFF
225,me Mobile Magic Star,"Rs  3,550",,
226,me Mobile M106,"Rs  2,699",,
227,XMobile X7,"Rs  4,099",,
228,XMobile X1,"Rs  2,799",,
229,E-Tachi Music E1000,"Rs  3,799",,
230,E-Tachi E-Prime,"Rs  3,799","Rs  3,899",3% OFF
231,Spice S5026,"Rs  2,999",,
232,Faywa E1000 Music,"Rs  3,600",,
233,Itel A49 Play,"Rs  16,399","Rs  16,999",4% OFF
234,XSmart Nova 7,"Rs  19,299","Rs  20,499",6% OFF
235,Nokia C12 Pro,"Rs  21,499","Rs  22,999",7% OFF
236,Apple iPhone 15 Plus,"Rs  399,999","Rs  419,600",5% OFF
237,Itel It 5031,"Rs  3,399",,
238,Calme battery ka pehlwan,"Rs  3,650",,
239,me Mobile I251,"Rs  3,499",,
240,GRACE 9,"Rs  24,799","Rs  25,999",5% OFF
241,Memobile XL300,"Rs  3,499",,
242,GRESSO 4sim,"Rs  3,500",,
243,XMobile Champion,"Rs  3,599",,
244,XMobile Dabang Plus,"Rs  3,849",,
245,XMobile X1000 Music,"Rs  3,999",,
246,XMobile X4i,"Rs  3,799",,
247,XMobile Disco Plus,"Rs  3,899",,
248,Xmobile X6,"Rs  3,899",,
249,Xmobile Boom I,"Rs  3,599","Rs  3,799",5% OFF
250,E-Tachi E40i,"Rs  3,699","Rs  3,799",3% OFF
251,FAYWA Prime 1,"Rs  2,499",,
252,Honor 90 Lite,"Rs  85,799","Rs  89,999",5% OFF
253,XSmart Mate 10,"Rs  21,899","Rs  24,999",12% OFF
254,UMIDIGI A15,"Rs  37,299","Rs  42,999",13% OFF
255,Nokia 105,"Rs  5,549",,
256,VGO TEL Beauty Max,"Rs  3,649",,
257,Itel SG600,"Rs  3,399","Rs  3,999",15% OFF
258,VGO TEL Four 44,"Rs  4,699",,
259,VGO TEL S9,"Rs  4,849",,
260,Digit Play 1,"Rs  13,499","Rs  20,599",34% OFF
261,ZTE Blade A51,"Rs  13,999","Rs  21,999",36% OFF
262,REMAXX R1280,"Rs  2,349","Rs  2,350",0% OFF
263,REMAXX R105,"Rs  2,699",,
264,XMobile Mega Gabbar,"Rs  3,999","Rs  4,099",2% OFF
265,XMobile Music King,"Rs  3,899",,
266,Faywa Music 700,"Rs  3,349","Rs  3,400",2% OFF
267,XSmart Nova 5,"Rs  18,099",,
268,UMIDIGI G3 Plus,"Rs  22,999","Rs  29,999",23% OFF
269,Samsung Galaxy Z Flip 4,"Rs  245,999","Rs  368,499",33% OFF
270,Apple iPhone 15,"Rs  321,999","Rs  344,450",7% OFF
271,Tecno Camon 30 Premier 5G,"Rs  151,999","Rs  158,999",4% OFF
272,me Mobile L109,"Rs  3,149",,
273,GRESSO Turbo 2 Plus,"Rs  2,899",,
274,Gresso Rock star,"Rs  4,199","Rs  4,200",0% OFF
275,OUKITEL C32,"Rs  25,899","Rs  26,499",2% OFF
276,XMobile Music Ka Sultan Plus,"Rs  3,899",,
277,XMobile Gabbar Plus,"Rs  3,599",,
278,XMobile X4 Plus,"Rs  3,749",,
279,XMobile Music Master,"Rs  3,699",,
280,XMobile Music Master,"Rs  3,699",,
281,E-Tachi Magic E5,"Rs  3,749",,
282,E-Tachi E444,"Rs  3,749",,
283,FAYWA F2,"Rs  2,550","Rs  2,775",8% OFF
284,UMIDIGI A15C,"Rs  32,399","Rs  37,999",15% OFF
285,Xiaomi 14,"Rs  289,999","Rs  339,999",15% OFF
286,VGO TEL i888,"Rs  5,099",,
287,Calme E1000,"Rs  3,799",,
288,Sparx Neo 5 Pro,"Rs  17,249","Rs  17,999",4% OFF
